bucket,business_id,sold_lots,gmv_usd_current_fx,skipped_fx_lots,gmv_native_by_currency
2025-06,AD,1868,116511.48,0,"{""USD"":116511.48}"
2025-06,ALL,3858,4209941.89,0,"{""AUD"":270,""BRL"":683000,""CAD"":106810,""USD"":4002032.9,""ZAR"":6860}"
2025-06,GD,1947,3960480.11,0,"{""CAD"":106810,""USD"":3885201.42}"
2025-06,GI,43,132950.3,0,"{""AUD"":270,""BRL"":683000,""USD"":320,""ZAR"":6860}"
2025-07,AD,24722,1263418.89,0,"{""USD"":1263418.89}"
2025-07,ALL,63751,66560729.69,0,"{""BRL"":9399246,""CAD"":2781792.4,""EUR"":92947.05,""GBP"":287844,""MXN"":2242041.73,""USD"":61367660.28,""ZAR"":13199077.94}"
2025-07,GD,37262,60479374.21,0,"{""CAD"":2781792.4,""USD"":58518792.87}"
2025-07,GI,1767,4817936.59,0,"{""BRL"":9399246,""EUR"":92947.05,""GBP"":287844,""MXN"":2242041.73,""USD"":1585448.52,""ZAR"":13199077.94}"
2025-08,AD,24960,1697968.4,0,"{""USD"":1697968.4}"
2025-08,ALL,62541,67635191.14,0,"{""AUD"":1937,""BRL"":5171558,""CAD"":3115842.66,""CNY"":1881600,""EUR"":79080,""GBP"":133662.01,""MXN"":5333078.58,""USD"":62572101.59,""ZAR"":16765308.43}"
2025-08,GD,35875,60507780.71,0,"{""CAD"":3114632.66,""USD"":58312616.66}"
2025-08,GI,1706,5429442.03,0,"{""AUD"":1937,""BRL"":5171558,""CAD"":1210,""CNY"":1881600,""EUR"":79080,""GBP"":133662.01,""MXN"":5333078.58,""USD"":2561516.53,""ZAR"":16765308.43}"
2025-09,AD,23220,2048786.06,0,"{""USD"":2048786.06}"
2025-09,ALL,62129,85880684.47,0,"{""AUD"":417,""BRL"":3213208.72,""CAD"":4324085.53,""EUR"":381661.61,""GBP"":655479.03,""MXN"":5670885.21,""USD"":79935209.81,""ZAR"":10747689.99}"
2025-09,GD,36919,77992235.92,0,"{""CAD"":4323885.53,""USD"":74944801.72}"
2025-09,GI,1990,5839662.49,0,"{""AUD"":417,""BRL"":3213208.72,""CAD"":200,""EUR"":381661.61,""GBP"":655479.03,""MXN"":5670885.21,""USD"":2941622.03,""ZAR"":10747689.99}"
2025-10,AD,22661,2146941.35,0,"{""CAD"":493750,""USD"":1798950.95}"
2025-10,ALL,63209,72931646.54,0,"{""BRL"":2995336.8,""CAD"":4645167.1,""CNY"":732000,""EUR"":334203.09,""MXN"":2710369,""USD"":67382075.09,""ZAR"":17347225.74}"
2025-10,GD,38343,65982915.17,0,"{""CAD"":4151417.1,""USD"":63057035.12}"
