date,business_id,sold_lots,gmv_usd_current_fx,skipped_fx_lots,gmv_native_by_currency
2025-06-30,AD,915,97360.19,0,"{""USD"":97360.19}"
2025-06-30,ALL,2532,3793984.44,0,"{""AUD"":270,""BRL"":683000,""CAD"":67892,""USD"":3613512.75,""ZAR"":6860}"
2025-06-30,GD,1574,3563628.75,0,"{""CAD"":67892,""USD"":3515832.56}"
2025-06-30,GI,43,132995.5,0,"{""AUD"":270,""BRL"":683000,""USD"":320,""ZAR"":6860}"
2025-07-01,AD,944,19427.34,0,"{""USD"":19427.34}"
2025-07-01,ALL,2584,2266880.82,0,"{""BRL"":367812,""CAD"":11897.01,""USD"":2187375.35,""ZAR"":100}"
2025-07-01,GD,1635,2176323.54,0,"{""CAD"":11897.01,""USD"":2167948.01}"
2025-07-01,GI,5,71129.94,0,"{""BRL"":367812,""ZAR"":100}"
2025-07-02,AD,915,15680.6,0,"{""USD"":15680.6}"
2025-07-02,ALL,2439,1878125.3,0,"{""BRL"":254038,""CAD"":67542.99,""USD"":1781451.46}"
2025-07-02,GD,1519,1812271.34,0,"{""CAD"":67542.99,""USD"":1764720.86}"
2025-07-02,GI,5,50173.36,0,"{""BRL"":254038,""USD"":1050}"
2025-07-03,AD,813,81270.01,0,"{""USD"":81270.01}"
2025-07-03,ALL,1995,2357840.42,0,"{""BRL"":835526,""CAD"":79211,""USD"":1978588.08,""ZAR"":2659000}"
2025-07-03,GD,1139,1953082.87,0,"{""CAD"":79211,""USD"":1897318.07}"
2025-07-03,GI,43,323487.54,0,"{""BRL"":835526,""ZAR"":2659000}"
2025-07-04,ALL,527,940985.47,0,"{""BRL"":601256,""CAD"":23089.02,""USD"":800762.47,""ZAR"":126500}"
2025-07-04,GD,518,817017.21,0,"{""CAD"":23089.02,""USD"":800762.47}"
2025-07-04,GI,9,123968.25,0,"{""BRL"":601256,""ZAR"":126500}"
2025-07-05,ALL,425,476698.36,0,"{""BRL"":128304,""CAD"":1400,""USD"":450902.6}"
2025-07-05,GD,423,451888.2,0,"{""CAD"":1400,""USD"":450902.6}"
2025-07-05,GI,2,24810.16,0,"{""BRL"":128304}"
2025-07-06,AD,836,20826.41,0,"{""USD"":20826.41}"
2025-07-06,ALL,1377,630637.15,0,"{""BRL"":112218,""CAD"":23877,""USD"":592128.06}"
2025-07-06,GD,540,588111.14,0,"{""CAD"":23877,""USD"":571301.65}"
2025-07-06,GI,1,21699.61,0,"{""BRL"":112218}"
2025-07-07,AD,825,17496.6,0,"{""USD"":17496.6}"
2025-07-07,ALL,2603,2991148.37,0,"{""BRL"":668810,""CAD"":222574,""USD"":2705127.69}"
2025-07-07,GD,1772,2844323.91,0,"{""CAD"":222574,""USD"":2687631.09}"
2025-07-07,GI,6,129327.86,0,"{""BRL"":668810}"
2025-07-08,AD,750,13835.18,0,"{""USD"":13835.18}"
2025-07-08,ALL,2783,2871137.08,0,"{""BRL"":916751,""CAD"":36856.53,""GBP"":30609,""USD"":2627381.8}"
2025-07-08,GD,1930,2639343.74,0,"{""CAD"":36856.53,""USD"":2613396.62}"
2025-07-08,GI,103,217958.17,0,"{""BRL"":916751,""GBP"":30609,""USD"":150}"
2025-07-09,AD,968,21290.77,0,"{""USD"":21290.77}"
2025-07-09,ALL,2457,2371285.72,0,"{""BRL"":501000,""CAD"":34806,""GBP"":3225,""USD"":2245632.84}"
2025-07-09,GD,1466,2236548.61,0,"{""CAD"":34806,""USD"":2212045.07}"
2025-07-09,GI,23,113446.34,0,"{""BRL"":501000,""GBP"":3225,""USD"":12297}"
2025-07-10,AD,879,20390.03,0,"{""USD"":20390.03}"
2025-07-10,ALL,2563,3760550.53,0,"{""BRL"":746091,""CAD"":219780,""EUR"":8500,""GBP"":108401,""USD"":3299366.5,""ZAR"":146580}"
2025-07-10,GD,1354,2974124.3,0,"{""CAD"":219780,""USD"":2819398.47}"
2025-07-10,GI,330,766036.2,0,"{""BRL"":746091,""EUR"":8500,""GBP"":108401,""USD"":459578,""ZAR"":146580}"
2025-07-11,AD,906,18963.89,0,"{""USD"":18963.89}"
2025-07-11,ALL,1671,1929190.07,0,"{""BRL"":369421,""CAD"":76604,""GBP"":14525,""USD"":1784589.97}"
2025-07-11,GD,749,1819555.54,0,"{""CAD"":76604,""USD"":1765626.08}"
2025-07-11,GI,16,90670.64,0,"{""BRL"":369421,""GBP"":14525}"
2025-07-12,AD,879,18554.75,0,"{""USD"":18554.75}"
2025-07-12,ALL,1372,542415.09,0,"{""BRL"":224101,""CAD"":222,""USD"":498924.37}"
2025-07-12,GD,490,480525.91,0,"{""CAD"":222,""USD"":480369.62}"
2025-07-12,GI,3,43334.44,0,"{""BRL"":224101}"
2025-07-13,AD,863,19723.1,0,"{""USD"":19723.1}"
2025-07-13,ALL,1249,452099.64,0,"{""CAD"":6020,""USD"":447861.54}"
2025-07-13,GD,386,432376.54,0,"{""CAD"":6020,""USD"":428138.44}"
2025-07-14,AD,894,21349.1,0,"{""USD"":21349.1}"
2025-07-14,ALL,2215,2617550.04,0,"{""BRL"":178493,""CAD"":19297.5,""GBP"":12275,""USD"":2553193.37}"
2025-07-14,GD,1309,2545429.77,0,"{""CAD"":19297.5,""USD"":2531844.27}"
2025-07-14,GI,12,50771.16,0,"{""BRL"":178493,""GBP"":12275}"
2025-07-15,AD,938,20238.71,0,"{""USD"":20238.71}"
2025-07-15,ALL,2927,2937427.5,0,"{""BRL"":87490,""CAD"":48536.25,""GBP"":114559,""USD"":2734349.2,""ZAR"":4575}"
2025-07-15,GD,1918,2748280.17,0,"{""CAD"":48536.25,""USD"":2714110.49}"
2025-07-15,GI,71,168908.62,0,"{""BRL"":87490,""GBP"":114559,""ZAR"":4575}"
2025-07-16,AD,892,20230.11,0,"{""USD"":20230.11}"
2025-07-16,ALL,2344,2089851.92,0,"{""BRL"":214000,""CAD"":182243,""USD"":1918953.14,""ZAR"":20000}"
2025-07-16,GD,1449,1777022.69,0,"{""CAD"":182243,""USD"":1648723.03}"
2025-07-16,GI,3,292599.12,0,"{""BRL"":214000,""USD"":250000,""ZAR"":20000}"
2025-07-17,AD,1008,310390.91,0,"{""USD"":310390.91}"
2025-07-17,ALL,2648,3000266.83,0,"{""BRL"":383599,""CAD"":64881.69,""GBP"":1550,""USD"":2877029.46,""ZAR"":21860}"
2025-07-17,GD,1470,2497957.61,0,"{""CAD"":64881.69,""USD"":2452280.69}"
2025-07-17,GI,170,191918.31,0,"{""BRL"":383599,""GBP"":1550,""USD"":114357.86,""ZAR"":21860}"
2025-07-18,AD,956,19944.59,0,"{""USD"":19944.59}"
2025-07-18,ALL,1991,1744779.58,0,"{""BRL"":359000,""CAD"":11770.14,""GBP"":2500,""USD"":1663762.71}"
2025-07-18,GD,998,1611913.35,0,"{""CAD"":11770.14,""USD"":1603627.13}"
2025-07-18,GI,37,112921.65,0,"{""BRL"":359000,""GBP"":2500,""USD"":40190.99}"
2025-07-19,AD,1002,22407.84,0,"{""USD"":22407.84}"
2025-07-19,ALL,1466,623317.95,0,"{""CAD"":1001,""USD"":622613.24}"
2025-07-19,GD,464,600910.11,0,"{""CAD"":1001,""USD"":600205.4}"
2025-07-20,AD,854,19922.58,0,"{""USD"":19922.58}"
2025-07-20,ALL,1555,1233853.19,0,"{""CAD"":7620,""USD"":1228488.69}"
2025-07-20,GD,701,1213930.61,0,"{""CAD"":7620,""USD"":1208566.11}"
2025-07-21,AD,629,47493.96,0,"{""USD"":47493.96}"
2025-07-21,ALL,2071,3057077.01,0,"{""BRL"":289334,""CAD"":99326.53,""USD"":2931202.26}"
2025-07-21,GD,1441,2953634.5,0,"{""CAD"":99326.53,""USD"":2883708.3}"
2025-07-21,GI,1,55948.55,0,"{""BRL"":289334}"
2025-07-22,AD,589,14439.06,0,"{""USD"":14439.06}"
2025-07-22,ALL,2584,3801682.73,0,"{""BRL"":175850,""CAD"":189605,""USD"":3188904.95,""ZAR"":7312352}"
2025-07-22,GD,1932,3306748.43,0,"{""CAD"":189605,""USD"":3173265.89}"
2025-07-22,GI,63,480495.25,0,"{""BRL"":175850,""USD"":1200,""ZAR"":7312352}"
2025-07-23,AD,1003,25718.36,0,"{""USD"":25718.36}"
2025-07-23,ALL,2564,2507119.02,0,"{""BRL"":235000,""CAD"":49873.13,""EUR"":84447.05,""USD"":2330162.93}"
2025-07-23,GD,1451,2279079.06,0,"{""CAD"":49873.13,""USD"":2243968.21}"
2025-07-23,GI,110,202321.61,0,"{""BRL"":235000,""EUR"":84447.05,""USD"":60476.36}"
2025-07-24,AD,937,23349.33,0,"{""USD"":23349.33}"
2025-07-24,ALL,3136,4036255.28,0,"{""BRL"":227000,""CAD"":61405,""USD"":3827349.2,""ZAR"":1999840}"
2025-07-24,GD,1521,3282180.88,0,"{""CAD"":61405,""USD"":3238951.56}"
2025-07-24,GI,678,730725.07,0,"{""BRL"":227000,""USD"":565048.31,""ZAR"":1999840}"
2025-07-25,AD,917,23884.36,0,"{""USD"":23884.36}"
2025-07-25,ALL,2105,3198878.52,0,"{""BRL"":184146,""CAD"":299901,""GBP"":200,""MXN"":2242041.73,""USD"":2798666.23,""ZAR"":410000}"
2025-07-25,GD,1156,2975088.15,0,"{""CAD"":299901,""USD"":2763956.87}"
2025-07-25,GI,32,199906.02,0,"{""BRL"":184146,""GBP"":200,""MXN"":2242041.73,""USD"":10825,""ZAR"":410000}"
2025-07-26,AD,860,18020.81,0,"{""USD"":18020.81}"
2025-07-26,ALL,1289,588411.34,0,"{""CAD"":25,""USD"":588393.74}"
2025-07-26,GD,426,568715.53,0,"{""CAD"":25,""USD"":568697.93}"
2025-07-26,GI,3,1675,0,"{""USD"":1675}"
2025-07-27,AD,886,19550.92,0,"{""USD"":19550.92}"
2025-07-27,ALL,1444,382854.79,0,"{""CAD"":2384,""USD"":381176.45}"
2025-07-27,GD,558,363303.87,0,"{""CAD"":2384,""USD"":361625.53}"
2025-07-28,AD,815,26675.16,0,"{""USD"":26675.16}"
2025-07-28,ALL,2500,2740521.95,0,"{""CAD"":51114.51,""USD"":2675040.63,""ZAR"":484377.62}"
2025-07-28,GD,1678,2682750.25,0,"{""CAD"":51114.51,""USD"":2646765.47}"
2025-07-28,GI,7,31096.54,0,"{""USD"":1600,""ZAR"":484377.62}"
2025-07-29,AD,631,14720.34,0,"{""USD"":14720.34}"
2025-07-29,ALL,2453,2832030.76,0,"{""BRL"":309000,""CAD"":316257,""USD"":2549501.91,""ZAR"":2160}"
2025-07-29,GD,1818,2757277.52,0,"{""CAD"":316257,""USD"":2534631.57}"
2025-07-29,GI,4,60032.9,0,"{""BRL"":309000,""USD"":150,""ZAR"":2160}"
2025-07-30,AD,620,67092.33,0,"{""USD"":67092.33}"
2025-07-30,ALL,2087,2494995.54,0,"{""BRL"":781006,""CAD"":149274.25,""USD"":2238882.77}"
2025-07-30,GD,1461,2274930,0,"{""CAD"":149274.25,""USD"":2169840.44}"
2025-07-30,GI,6,152973.22,0,"{""BRL"":781006,""USD"":1950}"
2025-07-31,AD,713,280531.74,0,"{""USD"":280531.74}"
2025-07-31,ALL,2326,3207012.17,0,"{""BRL"":250000,""CAD"":423397.85,""USD"":2859881.67,""ZAR"":11733.32}"
2025-07-31,GD,1589,2812523.39,0,"{""CAD"":423397.85,""USD"":2514449.93}"
2025-07-31,GI,24,113957.04,0,"{""BRL"":250000,""USD"":64900,""ZAR"":11733.32}"
2025-08-01,AD,600,14245.65,0,"{""USD"":14245.65}"
2025-08-01,ALL,1636,1746781.16,0,"{""BRL"":53542,""CAD"":28577,""USD"":1715886.21,""ZAR"":6950}"
2025-08-01,GD,1028,1699116.6,0,"{""CAD"":28577,""USD"":1678998.3}"
2025-08-01,GI,8,33418.91,0,"{""BRL"":53542,""USD"":22642.26,""ZAR"":6950}"
2025-08-02,AD,639,12943.81,0,"{""USD"":12943.81}"
2025-08-02,ALL,1083,463661.29,0,"{""USD"":463661.29}"
2025-08-02,GD,444,450717.48,0,"{""USD"":450717.48}"
2025-08-03,AD,680,14160.46,0,"{""USD"":14160.46}"
2025-08-03,ALL,1172,812666.33,0,"{""CAD"":82,""USD"":812608.6}"
2025-08-03,GD,491,797655.87,0,"{""CAD"":82,""USD"":797598.14}"
2025-08-03,GI,1,850,0,"{""USD"":850}"
2025-08-04,AD,665,34231.1,0,"{""USD"":34231.1}"
2025-08-04,ALL,2194,2177325.83,0,"{""BRL"":131500,""CAD"":83674,""USD"":2092990.89}"
2025-08-04,GD,1528,2117666.56,0,"{""CAD"":83674,""USD"":2058759.79}"
2025-08-04,GI,1,25428.17,0,"{""BRL"":131500}"
2025-08-05,AD,869,22272.46,0,"{""USD"":22272.46}"
2025-08-05,ALL,2705,3331555.21,0,"{""CAD"":127342.9,""EUR"":15300,""USD"":3224439.18}"
2025-08-05,GD,1832,3275994.53,0,"{""CAD"":127342.9,""USD"":3186344.72}"
2025-08-05,GI,4,33288.21,0,"{""EUR"":15300,""USD"":15822}"
2025-08-06,AD,884,25426.32,0,"{""USD"":25426.32}"
2025-08-06,ALL,2498,2773249.38,0,"{""CAD"":128985,""USD"":2679194.61,""ZAR"":53352}"
2025-08-06,GD,1609,2740446.15,0,"{""CAD"":128985,""USD"":2649640.29}"
2025-08-06,GI,5,7376.91,0,"{""USD"":4128,""ZAR"":53352}"
2025-08-07,AD,853,22805.07,0,"{""USD"":22805.07}"
2025-08-07,ALL,2592,2777470.44,0,"{""BRL"":499704,""CAD"":171029.6,""MXN"":133826,""USD"":2552782.63}"
2025-08-07,GD,1572,2436899.39,0,"{""CAD"":171029.6,""USD"":2316494}"
2025-08-07,GI,167,317765.97,0,"{""BRL"":499704,""MXN"":133826,""USD"":213483.56}"
2025-08-08,AD,835,43606.65,0,"{""USD"":43606.65}"
2025-08-08,ALL,1960,2330222.75,0,"{""BRL"":303360,""CAD"":70097,""MXN"":411350,""USD"":2198685.03}"
2025-08-08,GD,1119,2160401.9,0,"{""CAD"":70097,""USD"":2111053.38}"
2025-08-08,GI,6,126214.2,0,"{""BRL"":303360,""MXN"":411350,""USD"":44025}"
2025-08-09,AD,732,16078.57,0,"{""USD"":16078.57}"
2025-08-09,ALL,1098,437121.21,0,"{""CAD"":19800,""USD"":423181.95}"
2025-08-09,GD,366,421042.64,0,"{""CAD"":19800,""USD"":407103.38}"
2025-08-10,AD,808,21779.15,0,"{""USD"":21779.15}"
2025-08-10,ALL,1265,684407.51,0,"{""CAD"":29553,""USD"":663602.1}"
2025-08-10,GD,457,662628.36,0,"{""CAD"":29553,""USD"":641822.95}"
2025-08-11,AD,796,44123.63,0,"{""USD"":44123.63}"
2025-08-11,ALL,2447,3041898.13,0,"{""BRL"":148904,""CAD"":144098.99,""MXN"":2319290.96,""USD"":2778999.31}"
2025-08-11,GD,1627,2828010.84,0,"{""CAD"":144098.99,""USD"":2726564.68}"
2025-08-11,GI,24,169763.66,0,"{""BRL"":148904,""MXN"":2319290.96,""USD"":8311}"
2025-08-12,AD,896,48035.6,0,"{""USD"":48035.6}"
2025-08-12,ALL,2919,3374063.64,0,"{""BRL"":226111,""CAD"":141576,""MXN"":379764,""USD"":3206870.71,""ZAR"":34125}"
2025-08-12,GD,2013,3257080.07,0,"{""CAD"":141576,""USD"":3157410.11}"
2025-08-12,GI,10,68947.96,0,"{""BRL"":226111,""MXN"":379764,""USD"":1425,""ZAR"":34125}"
2025-08-13,AD,884,80890.66,0,"{""USD"":80890.66}"
2025-08-13,ALL,2387,2286994.99,0,"{""BRL"":36073,""CAD"":92523.07,""MXN"":163947,""USD"":2204414.91,""ZAR"":17910}"
2025-08-13,GD,1460,2188660.79,0,"{""CAD"":92523.07,""USD"":2123524.25}"
2025-08-13,GI,43,17443.54,0,"{""BRL"":36073,""MXN"":163947,""ZAR"":17910}"
2025-08-14,AD,956,355202.19,0,"{""USD"":355202.19}"
2025-08-14,ALL,2648,4492896.15,0,"{""AUD"":875,""BRL"":126089,""CAD"":221914,""MXN"":1719123.62,""USD"":3744516.49,""ZAR"":7699000}"
2025-08-14,GD,1569,3221718.02,0,"{""CAD"":221914,""USD"":3065489.84}"
