quarter,quarter_end,reported_gmv_usd
2018Q4,2018-12-31,158548000
2019Q1,2019-03-31,155393000
2019Q2,2019-06-30,168144000
2019Q3,2019-09-30,157791000
2019Q4,2019-12-31,148594000
2020Q1,2020-03-31,144300000
2020Q2,2020-06-30,130088000
2020Q3,2020-09-30,196868000
2020Q4,2020-12-31,190401000
2021Q1,2021-03-31,207311000
2021Q2,2021-06-30,244668000
2021Q3,2021-09-30,244388000
2021Q4,2021-12-31,260166000
2022Q1,2022-03-31,276861000
2022Q2,2022-06-30,325006000
2022Q3,2022-09-30,283339000
2022Q4,2022-12-31,270775000
2023Q1,2023-03-31,282723000
2023Q2,2023-06-30,333958000
2023Q3,2023-09-30,315575000
2023Q4,2023-12-31,305864000
2024Q1,2024-03-31,319371000
2024Q2,2024-06-30,380439000
2024Q3,2024-09-30,360958000
2024Q4,2024-12-31,386080000
2025Q1,2025-03-31,367353000
2025Q2,2025-06-30,413007000
2025Q3,2025-09-30,404451000
2025Q4,2025-12-31,397959000
2026Q1,2026-03-31,389865000
